,Tot Dom Deposits to Tot Assets,Return On Assets,Net Op Inc to Assets,Pretax ROA,Assets per Emp,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Yield on Earning Assets,Net Loans Lease to Tot Assets,RE to Ave Equity,Net Interest Margin,Efficiency Ratio,Core Capital Ratio,Equity to Assets,Noncurr Assets Other RE,Cost of Funding Earnings Assets,Noncurrent Loans to Loans,Number Employees,Return on Equity
5229,84.21077057,1.154229866,1.154229866,1.420617674,4.446420635,0.614064365,2.9855140810000003,4.65060423,75.43824264,7.761506878,4.174503222,67.33487741,15.26633998,15.29212904,0.317894365,0.476101008,0.416446479,126.0,7.761506878
5231,85.74243406,0.560884626,0.560884626,0.7367439379999999,4.403441176,0.023980815,2.677857714,4.131282342,71.2404069,4.030187155,3.637910257,76.74148607,13.89637036,14.04917277,1.418008643,0.493372085,1.598943953,34.0,4.030187155
5232,81.74742712,1.026907859,1.026907859,1.312733002,5.910304348,0.327078256,2.09212218,4.393547647,74.98032177,5.866591027,3.593989543,55.82247557,14.87246926,17.723651399999994,0.147862613,0.799558103,0.196170288,23.0,5.866591027
5233,87.95121514,1.244515612,1.244515612,1.709527622,12.44396154,0.046116894000000005,1.434107286,4.22525199,81.57864642,10.35879938,3.2756201710000004,45.6193969,12.36341783,11.89053696,1.266910426,0.94963182,0.314017518,26.0,10.35879938
5234,83.71013811,0.7739989279999999,0.7739989279999999,1.033321646,3.642785714,0.8547065090000001,3.293133902,4.471585037,87.55596515,7.80885003,3.677771701,75.19637462,10.05646148,9.988431146,0.928776381,0.7938133359999999,1.050452781,42.0,7.80885003
5236,76.36146070000002,0.998118212,0.997898119,1.241962049,6.00407438,0.760235205,2.734003881,3.975942955,78.56088542,9.011823796,3.616518035,67.47923315,11.41699892,11.31508952,1.182851498,0.359424921,1.440552187,363.0,9.011823796
5237,81.8873554,1.920239037,1.920239037,1.920239037,5.329462857,1.312026423,2.257642186,3.97515775,84.64961,5.581314073,3.11045946,53.92536510000001,9.591387184,10.76120242,0.522200397,0.86469829,0.601975451,525.0,17.76563613
5238,88.55919395,0.5412663000000001,0.5412663000000001,0.655813354,3.053846154,1.003230793,3.578651375,3.902205537,70.36209068,5.839146658,3.442269795,83.39689058,9.554076058,9.171284635,0.379093199,0.459935742,0.434848202,52.0,5.921776092000001
5239,93.86054815,0.094948671,0.093105007,0.094948671,1.8904375,1.375372979,3.994296996,3.309245192,39.59023091,1.6523185,3.081924455,97.72214705,6.660788902,5.752636625,2.059236099,0.227320737,3.479640402,112.0,1.6523185
5240,82.55482559,1.3989665430000002,1.3989665430000002,1.470640351,4.6710625,0.17785722699999998,2.259052236,5.290790513,73.42414065,5.627198124,4.433317567,55.80327869,10.15994687,16.20081084,2.689430938,0.857472945,3.5334668760000003,16.0,8.825992296
5242,90.98343246,0.761136202,0.761136202,0.8001100440000001,3.684521739,0.781769412,3.216488228,4.096589047,64.21693571,4.288639067,3.688760144,80.07990868,8.825795744,8.695600868,0.260785424,0.407828903,0.009096201,23.0,9.068969238
5243,84.69777358,0.5548570270000001,0.614759275,0.6891299479999999,5.671701149,0.43752315,2.553664394,3.734263429,51.03032195,4.499972902,3.257645162,72.66126104,10.46579336,12.17944301,0.143077752,0.476618268,0.254772015,87.0,4.901430338
5244,84.29211841,1.155972275,1.155972275,1.187005087,3.1648125,0.7292710990000001,3.708421122,5.093900918,72.25349053,10.02055942,4.692537392,74.28127428,8.069000627000001,8.130418469,0.592452159,0.401363526,0.230302373,16.0,14.70998378
5247,82.00262586,0.938639682,0.938639682,1.265741389,5.416222222000001,0.593252786,2.960168866,4.490827614,81.64054487,7.294835405,3.88903083,69.54653938,9.84820626,9.827473023,0.254379847,0.601796784,0.30843853,18.0,9.797133596
5248,90.46859194,0.616907859,0.59405942,0.616907859,3.794,0.365575028,2.7203922960000004,4.393080959,54.76356694,3.914201316,4.016178092,66.56162465,9.531189187,9.342632036,1.6519682569999998,0.376902867,2.9613135230000003,37.0,6.579513497000001
5249,83.90138940000001,0.527964372,0.589188864,0.6926505059999999,4.784117647,0.339059688,2.59622847,4.361733815,74.43009959,3.986429177,3.703847598,68.28025478,11.76884446,11.65498586,2.427148654,0.657886217,2.856397548,17.0,4.622561493
