,Tot Dom Deposits to Tot Assets,Pretax ROA,Return On Assets,Net Op Inc to Assets,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Net Interest Margin,RE to Ave Equity,Efficiency Ratio,Net Loans Lease to Tot Assets,Return on Equity
3026,87.39124281,0.437804719,0.437804719,0.440482423,0.416383081,3.048566802,3.313114672,3.5794428330000003,87.37528780000002,68.38139654,3.5794428330000003
3027,88.99584491,0.238854635,0.198097693,0.198097693,0.464439568,3.600828409,3.630002187,2.329512302,93.5944814,81.24407509999998,2.329512302
3028,84.34016479,1.206377583,1.189263638,1.189571689,1.233137571,3.215243634,3.4843663360000003,5.878305984,70.34233497,81.62775679,11.11121932
3029,91.48435171,0.5317217710000001,0.393520959,0.393520959,0.415383234,3.148948464,3.537462005,4.929980099,83.00061741,75.62220566,4.929980099
3030,88.74375109,0.541661639,0.541661639,0.541661639,0.167868188,2.671293781,3.383452489,6.395026774,78.22900763,85.10783539,6.395026774
3031,83.79688639,0.621169331,0.592627088,0.584064415,0.205053479,2.722028602,3.624679234,-0.323410144,75.67341825,64.31420188,5.316054248
3032,84.14050009,0.8456470640000001,0.71766086,0.719369576,0.330351824,2.629412898,3.615573316,4.981336253,70.20933977,76.65321207,9.953378967999999
3033,83.28220946,0.487552218,0.406481179,0.406481179,0.460528538,3.22257378,3.870500995,4.084789365,78.88919591,77.75514037,4.084789365
3034,83.01679868,2.154418777,2.046466038,2.046466038,0.723217124,1.933215005,3.610631688,7.294494792999999,46.17209744,71.51513574,19.13411622
3035,87.07175745,1.795964968,1.795964968,1.780415488,0.5286823279999999,2.081686668,3.5683081810000004,7.453512716,53.52323838,47.83244888,14.08393814
3036,84.05702206,0.7875178420000001,0.628783777,0.639612147,0.6054043410000001,3.866220407,4.669627282,5.5420979820000005,80.29644774,76.13604475,5.5420979820000005
3037,89.73841259,-2.032770641,-2.017199278,-2.021403546,0.60869873,4.283540362,3.1440053430000003,-24.53301197,123.66162649999998,69.51176808,-24.53301197
3038,80.35529865,2.807415663,2.087659025,2.099944228,0.767177254,5.419581259,9.408451252,11.85755936,54.48562054,89.44812432,14.52998654
